ContextID	ParticleVerb	Base	Particle	Avg	Std	Context
30001	crack down	crack	down	0.300000	0.483046	The manifesto also committed the Tories to backing new ' drugalyser ' technology to crack down on drug driving.
30002	boil down	boil	down	0.300000	0.483046	His philosophy of life may be boiled down into a single sentence: Carry on and you will be happy.
30003	strike down	strike	down	0.500000	0.707107	If any number of your koi are struck down with disease, koi keeping can soon see your pond turning from a pleasure pool to a pond of despair.
30004	tear down	tear	down	0.600000	0.843274	Their false supremacism needs to be torn down by reality of facts.
30005	crack down	crack	down	0.600000	1.074970	Both reforms are part of the government 's wide-ranging plans to crack down on anti-social behaviour, ranging from violence in the street to noisy neighbours.
30006	take down	take	down	0.600000	1.577620	""" and I will take down your name and put you in queue and let you know when it is your turn."
30007	boil down	boil	down	0.700000	1.059350	The Rehabilitation of Offenders Act has been around since 1975, yet when it boils down to it, it is little better than useless with no real teeth.
30008	water down	water	down	0.700000	1.059350	Well; another decent episode that was watered down a bit.
30009	come down	come	down	0.700000	1.494430	Because the ones I see now are pretty meaningless and come down to something bad can happen, click Yes to say it 's your fault if it does.
30010	back down	back	down	0.777778	0.971825	He has got balls of steel and has had to put up with endless bullying but he did n't back down and pushed it to the hilt until he proved that he 'd been treated unfairly.
30011	crack down	crack	down	0.800000	0.788811	"This is shown by Ezra 's completely disingenuous "" Do n't crack down on illegal immigrants, crack down on employers who hire them!"
30012	break down	break	down	0.800000	1.229270	He submitted his report on 14 April, shortly before negotiations between Netherlands and republican representatives, under the chairmanship of a British official, broke down.
30013	let down	let	down	0.800000	1.316560	Drill saw her struggling, her body letting her down, not being able to flee.
30014	back down	back	down	0.888889	1.364230	Conservative London Assembly member Brian Coleman has backed down from his attempt to ban questions to him at London Fire Authority meetings.
30015	cut down	cut	down	0.900000	1.728840	To cut down their meat consumption was little hardship, except, perhaps, to Italian laborers who swung the pickax.
30016	let down	let	down	1.000000	1.154700	Although we were relatively impressed with many of its key features in our review back in issue 87, it was let down by its excessive weight and bulk, which was largely attributed to its otherwise effective slide-out Qwerty keyboard.
30017	let down	let	down	1.000000	1.333330	"That "" up the nose "" look is n't flattering at all, and whilst I love the creamy texture your images have, I feel that they 're let down by your viewpoint being too low."
30018	back down	back	down	1.000000	1.333330	""" But ca n't the Student Council make you back down and appoint others? """
30019	water down	water	down	1.000000	1.414210	It is wonderful what a quantity of the mere lees of such writers, more and more watered down, the libraries go on complacently circulating, and the reviews go on complacently reviewing.
30020	put down	put	down	1.000000	1.699670	I put it down to stubbornness and laziness of thought.
30021	water down	water	down	1.000000	1.699670	Chris Williamson: I think that the Minister should admit that the Government have watered down the Vickers commission.
30022	narrow down	narrow	down	1.090910	1.513570	"With us the question is narrowed down to this- "" Is the government administered according to the constitution? """
30023	track down	track	down	1.100000	1.595130	I have tracked it down until I am the master who by a touch can liberate elemental forces, which will not destroy, like those of Illowski 's, but will elevate the soul and make mankind one great nation, one loving brotherhood.
30024	break down	break	down	1.200000	1.549190	"I kept thinking I should tread on you, and I got so nervous toward the end I thought I should just break down and sob on your bosom and beg to be taken back to home and mother. """
30025	crack down	crack	down	1.200000	1.873800	Concerned with the perceived radicalization of this rights movement, in recent years, the Party-state has reacted harshly by cracking down on weiquan lawyers.
30026	drive down	drive	down	1.300000	1.337490	But I can tell you with absolute certainty that we 've done everything we possibly could to prevent that and to drive it down to an absolute minimum.
30027	settle down	settle	down	1.300000	1.337490	I had to advise my daughter, who is to be a professional photographer (when she settles down... ) that Pentax is not the best for her.
30028	back down	back	down	1.300000	1.418140	I wo n't offer any further argument on it when Knob retorts to it because this idiot never backs down.
30029	knock down	knock	down	1.300000	1.702940	The Tigers turned the ball over on their next possession, and Brady knocked down another 3 - pointer to make it a 69 -68 game with 3:21 3:21 to play.
30030	cut down	cut	down	1.300000	1.766980	I 'm trying desperatly to cut down on a ll mine as i think i was doing far too much!
30031	come down	come	down	1.300000	1.946510	"With that lead investigators confirmed that the toe was from a man with "" Greek Foot "", thought to have come down through the ages, but catalogued after cross breeding when the Greeks invaded Egypt and continued their rape and pillage."
30032	let down	let	down	1.300000	2.002780	Surely it would n't be a let down after all of this?
30033	let down	let	down	1.333330	0.866025	He 's not letting down his guard until the guy is either unconscious or safe in front of a TV.
30034	close down	close	down	1.400000	0.843274	1.11.1 If a team temporarily withdraws, e.g. to collect a piece of equipment or pass a message, but do not remove their face masks, close down their sets or collect their tallies they may immediately re-enter the risk area.
30035	strike down	strike	down	1.400000	1.074970	and struck down upon the last two days of our long journey.
30036	narrow down	narrow	down	1.400000	1.264910	The issue of the strike has now narrowed down to voluntary arbitration versus compulsory arbitration.
30037	send down	send	down	1.400000	1.349900	His mother, who is suffering from a tumour in her eye and was accompanied by his elderly father, wept in the public gallery as he was sent down.
30038	cool down	cool	down	1.400000	1.505550	"I apologise to all und beg they re-read me when "" cooled down "" Johnny.."
30039	hold down	hold	down	1.400000	1.505550	And why do so many of us seem to be working harder than ever, holding down multiple jobs for lesser pay, if we 're lucky enough to be in the job market at all?
30040	cut down	cut	down	1.400000	1.646550	Remove the army, allow the people back in, and then send in the police to cut them down.
30041	let down	let	down	1.400000	1.646550	But come, let us be off, or this old nor'wester will be down on us again.
30042	knock down	knock	down	1.400000	1.837870	The scene was the kirk itself, and the seats being put up to auction were knocked down to the highest bidder.
30043	pin down	pin	down	1.400000	1.897370	This need for freedom extends even to the personal sphere and though you are kind and gentle, you will often be hard to pin down to a monogamous lifestyle.
30044	narrow down	narrow	down	1.400000	1.955050	"Oh, by the way, they are still predicting the world will end but no longer have a date in mind, but they have it narrowed down to "" shortly ""."
30045	run down	run	down	1.400000	2.011080	The tide runs up, the tide runs down, The waves they rise and fall; But with a man whose mind is set It 's once and once for all.
30046	boil down	boil	down	1.500000	1.080120	This is, of course all boiling down to NIMBYism - because something does n't directly affect someone, therefore they do n't understand the limitations.
30047	back down	back	down	1.500000	1.269300	CHICAGO I had a customer for 3 pictures at about 700, and another for 6 at 1500 --  one got away and the other finally backed down.
30048	close down	close	down	1.500000	1.269300	The soft evening shadows began presently to close down and around him.
30049	shut down	shut	down	1.500000	1.433720	"But it wo n't do to shut down until I get over this bit of a fog I 'm now in. """
30050	boil down	boil	down	1.500000	1.649920	It is the essence of ALLEN 'S Voluminous speech es boiled down to the smallest possible dimensions.
30051	boil down	boil	down	1.500000	1.715940	"What this all boils down to is that "" The Cruel Sea "" is a surprisingly good movie and stands out as something a bit special when it comes to the war movies which focus on World War II."
30052	pin down	pin	down	1.500000	1.840890	How peurile the poet 's thought when he has it pinned down to earth in verse!
30053	put down	put	down	1.500000	1.840890	"John P. hale, never at a loss for a reply, hamediately arose and said, "" The senator from Kentucky says that I and my friends have been put down, down, - down, where we shall have to stay."
30054	crack down	crack	down	1.550000	1.932410	This canon was as black as Erebus down there --  a sea of sombre firs; and down, down as if the earth was cracked and cleft almost in two.
30055	run down	run	down	1.555560	1.333330	GPS use can run down your phone 's battery, and if you have it in your pocket (rather than on an arm band ), the satellite signals will be partially blocked by your body, which could easily lead to less accuracy.
30056	back down	back	down	1.555560	1.666670	If that did n't raise the stakes enough, public statements on both sides now make it difficult to blink and back down.
30057	pin down	pin	down	1.600000	1.349900	McGregor lends Alex a youthful, obnoxious arrogance and Kerry Fox creates a certain ambiguity in her performance that makes it hard to pin down her loyalties.
30058	settle down	settle	down	1.600000	1.712700	Other reviews have mentioned loud noisy groups but whilst I was there the murmur had settled down by 11.30 pm and only the rumble of snoring could be heard.
30059	knock down	knock	down	1.600000	1.897370	Let 's knock down the easiest one first - full service history.
30060	drop down	drop	down	1.600000	2.011080	His son assisting him, they could drop down from Mapleton in their row boat; come up from the river, and, with their plans all laid, and knowing their ground, could make quick headway.
30061	crack down	crack	down	1.600000	2.065590	Such an end would make it easier for the Pakistani government to crack down on terrorist networks in Kashmir, some of which are partners of al Qaeda.
30062	shut down	shut	down	1.700000	1.251670	Each vice-chancellor looked at the figures, saw chemistry as a loss-making exercise and was tempted to shut it down.
30063	close down	close	down	1.700000	1.337490	Shares of Globalstar closed down 1 / 4 to 28.
30064	pin down	pin	down	1.700000	1.702940	I wo n't pin down one particular theme to write about, I 'll try my hand at anything!
30065	boil down	boil	down	1.700000	1.766980	""" Which boiled down to a philosopher able to confound the average hard core Christian of her time; like an intelligent man overturning the base hatred of a Nazi of the 30 s."
30066	strike down	strike	down	1.700000	2.057510	The child star admits the shows make her fear she will be struck down by an illness.
30067	drive down	drive	down	1.800000	1.686550	The research will use new technologies and materials to provide evidence for future standards and how to drive down energy bills.
30068	hunt down	hunt	down	1.800000	1.686550	"No use hunting down in the bowels of Grizzly Slide. """
30069	break down	break	down	1.800000	2.043960	Gladys walked over to this stranger and asked if she could help, and the young mother, whose face was bruised, broke down and said she was fleeing an abusive husband.
30070	back down	back	down	1.800000	2.043960	The regular Democrats have apparently abandoned all further attempts to come to any terms with Kellv, and they scout the idea of backing down to his dictation by the withdrawal of Jacobs.
30071	throw down	throw	down	1.888890	2.204790	"After the giant throw down in the Avengers versus X-Men crossover this issue has to be labeled as, ""... and on the lighter side of things..."
30072	put down	put	down	1.900000	1.449140	"Finally, he says "" I 'm going to have to put him down."
30073	track down	track	down	1.900000	1.523880	Then the only additions, if I ever track them down, will be 5 Black Bar Silver Dollars, and it may be that these will grow and be put in the bigger tank.
30074	strike down	strike	down	1.900000	1.595130	"Elizabeth Esty (D -5 ) visited Torrington on Saturday to speak about rights newly afforded to same-sex couples following the US Supreme Court 's decision to strike down a portion of the federal "" Defense of Marriage Act."
30075	water down	water	down	1.900000	1.663330	I watered mine down so that it acted more like a stain than paint.
30076	strike down	strike	down	1.900000	1.663330	Ben was one whom he could strike down without mercy or regret.
30077	step down	step	down	1.900000	1.791960	Our capital ratio was stepping down, and for us to grow capital we have to do it through profits because we do n't issue stock.
30078	step down	step	down	1.900000	1.791960	Phil Lenowitz, who recently stepped down as NIH 's deputy director of human resources, but remains a senior adviser there, says with pride that 48 percent of NIH 's almost 20,000 employees are over the age of 50.
30079	back down	back	down	1.900000	1.791960	"Ef Mr. Lord Hampton 's a gintleman, he 'll know what hosses is; and ef he backs down from this yere fight, we 'll put him thar, under the niggers, and let him work his passage. """
30080	pin down	pin	down	1.900000	1.911950	Everything else pins it down, and men flee for redress to Byron, Scott, Disraeli, Dumas, Sand, Balzac, Dickens, Thackeray, and Reade.
30081	take down	take	down	1.900000	1.911950	And then he see how it was, and he was the maddest man --  he set the frog down and took out after that feller, but he never ketched him.
30082	strike down	strike	down	1.900000	2.024850	A federal court struck down the first set in 2012.
30083	shut down	shut	down	2.000000	1.054090	"I am well aware that you are very much anoid and persecuted, thereby I mean persistant attentions from undesirable persons; now my obgect at present is to aid you in a manner that you can soon and forever shut down on all disagreeable attentions. """
30084	shut down	shut	down	2.000000	1.333330	They did, however, say that they will not shut down every Labs experiment.
30085	take down	take	down	2.000000	1.414210	I can remember we had to take it down to a shop to get it topped up!
30086	water down	water	down	2.000000	1.414210	They prefer to water down anything they get their hands on.
30087	narrow down	narrow	down	2.000000	1.490710	All our properties in Bevere can be narrowed down using property size and price filtering functions.
30088	water down	water	down	2.000000	1.490710	"is now in the process of being "" watered down. """
30089	pass down	pass	down	2.000000	1.563470	On the way down we passed the wreck of a steamer which had been sunk some years before, during a naval attack on Fort McAllister.
30090	put down	put	down	2.000000	1.632990	No matter how much you believe you 've marred a canvas or piece of paper with what you 've put down, do n't be discouraged.
30091	set down	set	down	2.000000	1.632990	You set down in that chai'a there, and I 'll tell you how you feel.
30092	pass down	pass	down	2.000000	1.699670	Nesmith (2002 ) cites Derrida 's Archive Fever (1994 ), which explores Freud and his father 's wishes to pass down his Jewish heritage, itself an archive, to his son.
30093	shoot down	shoot	down	2.000000	1.763830	SHOOTING DOWN ON STAGE FROM ABOVE Florine following the...... floor which she steps over - he steps into it and falls through.
30094	drive down	drive	down	2.000000	1.802780	The game, too, had been driven down along with the Indians, but it was of but little use to them.
30095	cool down	cool	down	2.000000	1.825740	This, together with certain other things that transpired presently, convinced Muldev, who had cooled down in six months, that his friend had won the wager.
30096	back down	back	down	2.000000	1.943650	Last year he said his partner could n't be expected to spend Christmas away from her family (parents etc ) and therefore he had to go abroad with her, though he eventually backed down and stayed around for Christmas Day only.
30097	break down	break	down	2.100000	1.197220	If you need to to fill some gaps in your CV like this, our eCourses are flexible online courses broken down into bite-sized chunks of learning.
30098	calm down	calm	down	2.100000	1.286680	It is important to recognize, however, that emotional labour need not be about inciting emotional expression, calming people down or making them feel happy.
30099	pass down	pass	down	2.100000	1.370320	The point where the HUEN SAU stops varies with the individual flexibility of the practitioner, using the hand becoming horizontal is merely a point of reference that gives a uniformity to the form as it passes down the generations.
30100	water down	water	down	2.100000	1.449140	From time to time, add some more watered down coconut milk as levels in the pan drop, until there 's two whole cans of coconut milk in play.
30101	set down	set	down	2.100000	1.449140	Far more discerning than older ones in matters of soul, they had discriminated long ago between the mischief and wildness of Jabez and his malice and wickedness, and a large balance was set down in their hearts in favor of his good qualities.
30102	write down	write	down	2.100000	1.595130	Disorderlj- words must be written down in committee, in the same manner as in the assembly, and reported to the assembly for their animadversion.
30103	narrow down	narrow	down	2.100000	1.728840	The education systems in those countries do not narrow down options too early, but give young people a broad choice and education.
30104	lie down	lie	down	2.100000	1.791960	Just as my Father knows me and I know my Father and I lay down my life for the sake of the flock.
30105	move down	move	down	2.100000	1.852930	This was done before devolution, in 1995, and it was decided that there was no strong reason for moving down the road taken in England and Wales.
30106	cut down	cut	down	2.100000	1.852930	My foreign grapes, after trial, I cut down as worthless, and of some, even noted natives, I cut down all but a few, and grafted other kinds upon their stocks.
30107	send down	send	down	2.100000	1.852930	An angel art thou, child, sent down To cheer my darker hours, And gifted with a spell to crown E'en Grief 's bowed head with flowers.
30108	track down	track	down	2.100000	1.852930	Friends no longer, they were now avengers, with the right to track him down and kill him.
30109	take down	take	down	2.100000	2.079000	So many of his books leave questions unanswered and take you down dead ends, but more often than not it seems like my questions are revisited and further developed in an entirely different book.
30110	hunt down	hunt	down	2.200000	1.316560	Climbing those mountains to hunt down that lion was a personal feat I will never forget.
30111	set down	set	down	2.200000	1.619330	The Kamakura Shogunate set down a pattern of rule in Japan that would last for some seven centuries.
30112	settle down	settle	down	2.200000	1.686550	We 're almost aways eating or just settling down to relax for the evening when we get the telemarketers calling us.
30113	send down	send	down	2.200000	1.751190	We are going to show a very slight decline, and as this is totally unexpected it will send things down like fury.
30114	knock down	knock	down	2.200000	1.873800	He easily, in his mind, knocks down the straw man paving the way for his own reasoning, and then throws in this tiny concession in natal astrology.
30115	pass down	pass	down	2.200000	1.932180	Solemnly, in Indian file, they passed down the trails among the sand...... From the wall of the bluffs they emerged into the bottom, line after line, moving slowly to the water.
30116	put down	put	down	2.200000	1.932180	Mr. CARTER, on learning of the presence of Gen. EMORY 'S troops ready to protect public property and to put down any armed oonflict.
30117	strike down	strike	down	2.200000	2.043960	"On the level of pure "" realism "" which is your question, if this legislation is popular, they are unlikely to strike it down."
30118	put down	put	down	2.200000	2.097620	"In the first place, Emmeline, "" said the ' city-lady, ' "" we must have boned turkey: put down boned turkey. """
30119	let down	let	down	2.200000	2.149940	This is raised directly under the swarm; with another pole, the bees are all dislodged, and fall into the basket, and are quickly let down.
30120	hunt down	hunt	down	2.222220	1.641480	...... child, hunted down to hell, falling on its knees, and screaming without a sound, when I hear the drum.
30121	come down	come	down	2.300000	1.059350	"He saw me coming down the hallway, and he walked over to me, and he said, "" Bill, "" he says, "" We are getting very close to making the decision to allow you all to come in to the 35 feet."
30122	calm down	calm	down	2.300000	1.251670	""" Well, "" said she, calming down a little, "" Mrs. Daniels had a visitor to-day, a lady."
30123	track down	track	down	2.300000	1.418140	"What 's more his allies - "" Whip interrupted him, "" Leona is tracking down Allen Junior at the moment; hopefully she 'll be able to locate him."
30124	calm down	calm	down	2.300000	1.418140	At last it calms down, and she hears the secretary bid for one share.
30125	shut down	shut	down	2.300000	1.494430	Hopefully one of the damaged intelligence agencies will terminate the irresponsible self serving Wikileaks Rat, Julian Assange, and his accomplices, and shut down Wikileaks and others like it forever.
30126	pass down	pass	down	2.300000	1.567020	Equally concerning is the capacity that a combination of these problems has to create a vicious cycle, as is the idea of a ' cycle of disadvantage ', which shows that deprivation in one generation is likely to pass down to the next.
30127	tear down	tear	down	2.300000	1.766980	Substantial stone-stabling had been torn down in order to erect a fanciful carriage-house, built in imitation of a Swiss cottage; which, from its singular want of harmony with the principal buildings, stood forth a perpetual commentary upon the false taste of the upstart owner.
30128	settle down	settle	down	2.300000	1.828780	It will interrupt his routine for a while, and then he will settle down into his former // self, and be just what he was before.
30129	come down	come	down	2.300000	1.888560	A lot of personal reasons, really, but it all basically came down to trust, and the fact that I believe in GPL.
30130	pass down	pass	down	2.300000	1.888560	The doors buckled under the blows of the Hormagaunts and the two marines backed away across the ante chamber, with Quintus passing down developments to Devios and then informing Thunders Word of the infestation.
30131	run down	run	down	2.300000	1.888560	She had thrown back her veil, for it was soaked...... ran down upon the stones from her wet clothes, which felt intolerably heavy as she stood there, resting one gloved hand against the damp wall and staring at the lantern.
30132	cut down	cut	down	2.300000	1.946510	Putnam instantly threatened to cut down any man who fired before the order was given.
30133	settle down	settle	down	2.300000	1.946510	California had settled down to a condition of absolute repose, and we naturally repined at our fate in being so remote from the war in Mexico, where our comrades were reaping large honors.
30134	hunt down	hunt	down	2.300000	2.002780	Smokers that are not afraid of being hunted down can still buy cigarettes online but they will have to pay for them with personal checks, money orders or some other payment arrangement.
30135	narrow down	narrow	down	2.300000	2.110820	...... in dispute shall not be narrowed down to the single point relating to the public credit.
30136	throw down	throw	down	2.333330	1.802780	But the minute you try to throw me down, I 'll come out with the whole story.
30137	run down	run	down	2.363640	1.963300	Wittemore stood looking down at the bills, and tears began to run down his cheeks and splash upon them.
30138	settle down	settle	down	2.400000	1.264910	Now he has another year of experience and was in the Olympic Games, he can settle down and we have confidence in him.
