ContextID	ParticleVerb	Base	Particle	Avg	Std	Context
70001	abhauen	hauen	ab	0.200000	0.421637	Wir waren zusammen, aber dann habe ich die High School abgebrochen und Luke hat mich rausgeworfen, also bin ich nach L.A. abgehauen, ohne ihr etwas zu sagen.
70002	abhauen	hauen	ab	0.333333	0.500000	Ab der zeit, begann der &quot; Krieg &quot; Wenn ich meiner tochter hausarrest gegeben habe, hat &quot; Sie &quot; mitten in der Nacht meinem kind eine sms geschrieben, das sie doch einfach, nach der Schule abhauen sollte und nicht mehr nach hause kommen sollte.
70003	abstatten	statten	ab	0.500000	0.707107	Ich werde Zeven mal einen Kurzbesuch abstatten - bei dem Treffen reicht mir dat...
70004	ablehnen	lehnen	ab	0.600000	0.516398	Das Landgericht hat einen Unterlassungsanspruch aus § 14, 15 Markengesetz abgelehnt, da die Domain nicht zu Kennzeichnung eines eigenen Geschäftsbetriebes dient.
70005	abdrücken	drücken	ab	0.600000	0.843274	Als der Westerwald noch nicht befahrbar war, kamen schon Tausende zum Oberwerth, um den Sportgroschen für die Infrastruktur in die Region von Waldbewohnern abzudrücken.
70006	abbringen	bringen	ab	0.600000	1.074970	Da ist Einiges in deiner Kindheit schief gelaufen, lass dich nicht von deinen Eltern abbringen zu der Psychiaterin zu gehen.
70007	abneigen	neigen	ab	0.600000	1.074970	Um die nächsten Zeilen für den gemeinen Radioakquisiteur etwas schmackhafter zumachen, ich meine hiermit den Provisionsleckerbissen, gebe ich Ihnen auf Anfrage die Telefonnummer von ein paar Akquise-Kollegen, die dem &quot; Sekunden-Zockermilieu &quot; strikt abgeneigt sind.
70008	abwickeln	wickeln	ab	0.600000	1.074970	Rechtsgeschäfte zwischen solchen Gesellschaften sind deshalb zu den gleichen Bedingungen abzuwickeln, wie sie auch mit aussenstehenden Dritten vereinbart würden.
70009	abhauen	hauen	ab	0.600000	1.264910	Der PO gibt zu, dass er bei den Delfinen im Wasser war und, dass er sie durch laute Geräusche und schlagen auf das Wasser erschrecken wollte, so dass sie in die Freiheit abhauen.
70010	abkommen	kommen	ab	0.700000	0.823273	Weil es zu wenig Handlung hat u. Deklamation zur Musik nie ganz passend wird, ist das M. wieder fast ganz abgekommen.
