ContextID	Compound	Mod	Head	ModAvg	ModStd	HeadAvg	HeadStd	Context
10001	account book	account	book	3.500000	1.779510	3.800000	1.549190	Correspondence, letterbooks, account books, and writings together with family papers concerning Charles, Clement, Edward, James, Nicholas, Thomas, and William S. Biddle.
10002	account book	account	book	3.000000	1.943650	3.900000	1.663330	Let me see, (looking at my account book ) that is two weeks wages making $8.
10003	account book	account	book	4.400000	1.074970	4.100000	1.449140	She drops her black silk bag; out of it drop crackers, an account book, a thimble, a thread-and-needle case, a bottle of pepsin tablets, etc.
10004	account book	account	book	4.300000	0.948683	4.100000	1.595130	Whether you are running or planning a business, this seminar will show you how to keep your account books up to date.
10005	account book	account	book	4.100000	1.595130	4.300000	1.567020	"When he had finished, he took out his account book, and entered, "" Dinner, 10 cents. """
10006	account book	account	book	3.900000	1.449140	4.400000	0.843274	Mr. Force went into the little den at the back of the hall, where he kept his writing desk and account books and held interviews with his overseer or his attorney.
10007	account book	account	book	4.100000	1.595130	4.600000	0.966092	The records consist of two of the company 's financial ledgers and account books from the years 1835 to 1846.
10008	account book	account	book	4.300000	0.823273	4.700000	0.483046	Not the least among them, as she regarded it, was an account book.
10009	account book	account	book	4.500000	0.527046	4.800000	0.421637	The following details derive from Meacci 's account book and associated copy invoices.
10010	account book	account	book	4.100000	1.370320	4.900000	0.316228	For example, typing ' book ' would result in any record where the field only contains ' book ' which would match ' book ', but would NOT match ' account book ', ' books ' or ' account books '.
10011	acid solution	acid	solution	4.400000	1.074970	2.000000	2.211080	If one simply add solid monosodium glutamate to acetic acid solutions there is an immediate precipitation of a very fine precipitate of mostly the more stable beta isomer.
10012	acid solution	acid	solution	4.700000	0.674949	3.300000	1.636390	The gas was under such pressure that it forced the combined soda and acid solution out through the hose for a considerable distance.
10013	acid solution	acid	solution	4.200000	1.619330	3.400000	1.577620	What is the pH of a Ca M acid solution whose acid dissociation constant is Ka?
10014	acid solution	acid	solution	4.600000	0.843274	3.400000	2.011080	Add a few drops of phenolphthalein indicator to the acid solution.
10015	acid solution	acid	solution	4.000000	1.699670	3.900000	1.286680	It is also well not to make much of the gallic acid solution, as it will not keep for more than a few days without spoiling.
10016	acid solution	acid	solution	4.300000	1.251670	4.000000	1.414210	If bedbugs get into a bed, first clean the mattress with a carbolic acid solution and put the mattress aside.
10017	acid solution	acid	solution	4.800000	0.421637	4.100000	1.449140	I bought some 6% oxalic acid solution from Maisemore last month.
10018	acid solution	acid	solution	4.900000	0.316228	4.300000	1.494430	It comprises hydrogen gas at atmospheric pressure brought into contact with a platinum black electrode in 1 molar (mol dm -3 ) acid solution.
10019	air pressure	air	pressure	4.500000	1.269300	4.100000	1.663330	It was also feared that, relieved from its air pressure, the water in the breast would rise and cut off the escape of any persons who might be in there.
10020	air pressure	air	pressure	4.100000	1.595130	4.400000	0.966092	Meanwhile in Germany even more surprising results of experiments on air pressure were forthcoming.
10021	air pressure	air	pressure	4.600000	0.966092	4.400000	1.264910	Some come to recognise movement around them because of something as subtle as changes in air pressure on their skin.
10022	air pressure	air	pressure	4.400000	1.074970	4.600000	0.843274	If your baby has to travel by air, sucking on a pacifier can help with the air pressure changes and help their ears adjust accordingly.
10023	air pressure	air	pressure	4.700000	0.483046	4.600000	0.843274	Tom tilted the rudder at a sharp angle to have the air pressure act as a brake.
10024	air pressure	air	pressure	4.500000	1.269300	4.700000	0.674949	This unit has a lift capacity of 250 kg at 6 bar air pressure, with a driving mechanism group M 4 (1 Am ) designed for 800 hours operation at full load conditions.
10025	air pressure	air	pressure	4.000000	1.885620	4.700000	0.674949	When a thirty-two by four inch cord tire is inflated to sixty pounds of air pressure, there is exerted within it an outward force of thirty tons.
10026	air pressure	air	pressure	4.700000	0.948683	4.800000	0.632456	Because of the lower air pressure at high altitudes, the power loss of a naturally aspirated engine is considerable.
