ContextID	ParticleVerb	Base	Particle	Avg	Std	Context
9101	act out	act	out	1.2	1.47573	"I know something about such contrivances, and this one acts as if a hose out in the sea had been cut! """
9102	act out	act	out	1.9	1.79196	Is it not the blessed privilege of speaking and acting yourself out unconstrainedly among those who you know understand you?
9103	act out	act	out	2.6	1.26491	"She was still herself, acting her play out in the teeth of death. """
9104	act out	act	out	2.0	1.33333	You acted out that ere tyrant first rate; but you got an almighty thrashing at last.
9105	act out	act	out	1.7	1.63639	You know the stately and august head of this establishment savours of Fitz-James, and in all matters of controversy acts fully out what Scott only dreamed: ' Come one, come all!
9106	ride off	ride	off	3.1	1.59513	"As they rode off, he waved his hat, and called out: "" Con todo el mondo guerra, y paz con Inglaterra! """
9107	ride off	ride	off	3.5	1.50923	Before I knew what she was doing she had saddled her pony and ridden off.
9108	ride off	ride	off	4.1	1.28668	He immediately threw himself into his saddle and rode off to the Archiepiscopal palace of Tacubaya, where the General-in-Chief had fixed his headquarters.
9109	ride off	ride	off	3.4	2.01108	"If you would ride a little way off, with Mr. Russell -- "" ' T was, after all, a most natural request."
9110	ride off	ride	off	3.7	1.76698	"It was five o'clock, when, shaking them warmly by the hand, I bade my pleasant friends "" good-bye, "" and mounting my horse rode off to the Colonel 's."
