ContextID	Compound	Mod	Head	ModAvg	ModStd	HeadAvg	HeadStd	Context
9001	night watch	night	watch	4.9	0.316228	2.0	2.10819	The cook is the patron of the crew, and those who are in his favor can get their wet mittens and stockings dried, or light their pipes at the galley on the night watch.
9002	night watch	night	watch	4.2	1.31656	3.4	2.01108	There for many weeks Truth nursed her sister, while the kind hostess and kind neighbors aided by words and deeds through the long night watches.
9003	night watch	night	watch	4.6	0.699206	2.7	1.88856	They were tired with travel, and the long night watches did not improve tempers already overstrained with the expectation of a crisis too long dragged out.
9004	night watch	night	watch	4.4	1.3499	3.5	1.90029	Until daybreak she wondered if he, too, was keeping the night watch, from a wholly different point of view.
9005	night watch	night	watch	4.8	0.421637	3.2	2.39444	Yes, he had better betake himself to the constableship --  the night watch.
9006	passenger car	passenger	car	2.5	1.95789	4.2	1.68655	"At the close of 1923 there were 6,221 passenger cars in the city, or roughly two for every three families. """
9007	passenger car	passenger	car	3.2	2.20101	4.8	0.421637	I did n't believe, at first, that Rectus would do this; but there was only one passenger car, and after the Corny family got into that, he did n't hesitate a minute about the engine.
9008	passenger car	passenger	car	3.2	1.8738	4.7	0.483046	Now if our streets were paved with double lines of flat trams, say nine inches wide, level with the pavement, and offering no resistance to any variety or direction of traffic,...... than that required for twenty-four passenger cars on a City railroad.
9009	passenger car	passenger	car	3.7	1.76698	4.2	1.54919	Soon the train was on its way again, having backed up at Leeways to drop a passenger car and take on one of mixed freight.
9010	passenger car	passenger	car	4.5	0.849837	3.7	1.70294	The train was a long one, consisting of the locomotive, three baggage and express, and seven passenger cars, and it encountered the broken rail while rounding the curve at a high rate of speed.
