ContextID	Compound	Mod	Head	ModAvg	ModStd	HeadAvg	HeadStd	Context
50001	Abiturzeugnis	Abitur	Zeugnis	4.600000	0.966092	4.600000	0.843274	Die geforderten Englischkenntnisse können durch das Bachelorzeugnis oder den Einstufungstest des Sprachenzentrums nachgewiesen werden, die Grundkenntnisse einer weiteren Fremdsprache durch dreijährigem Schulunterricht (Abiturzeugnis ).
50002	Abiturzeugnis	Abitur	Zeugnis	4.700000	0.674949	4.700000	0.674949	In Ergänzung zum Abiturzeugnis oder dem Full Diploma des IB fasst es die wertvollen Schlüsselqualifikationen für die berufliche und persönliche Laufbahn der Salem-Absolventen zusammen.
50003	Abiturzeugnis	Abitur	Zeugnis	4.800000	0.632456	4.800000	0.632456	Muss ich auf jeden Fall bereits im Besitz meines Abiturzeugnisses oder Nachweises der FH-Reife sein, um mich für den gehobenen Dienst bewerben zu können?
50004	Abiturzeugnis	Abitur	Zeugnis	4.500000	1.269300	5.000000	0.000000	, 15.6. 11 Uhr: Festliche Verleihung der Abiturzeugnisse im Atrium des Gymnasiums.
50005	Abiturzeugnis	Abitur	Zeugnis	5.000000	0.000000	5.000000	0.000000	Ihr Abiturzeugnis reichen Sie dann bitte nach, sobald Sie es erhalten haben.
50006	Ablagefläche	Ablage	Fläche	4.600000	0.843274	4.300000	1.059350	So eignet sich der asymmetrisch geformte Waschtisch (60 x 34 cm ) mit rechts - oder linksseitiger Ablagefläche zur Wand - oder Eckmontage.
50007	Ablagefläche	Ablage	Fläche	4.500000	1.080120	4.700000	0.674949	Dabei handelt es sich um aktive Ablageflächen neben der Seite.
50008	Ablagefläche	Ablage	Fläche	4.400000	1.349900	4.700000	0.674949	Ebenso ist die Kombination aus Waschtisch mit integrierten Waschbecken und Ablagefläche möglich.
50009	Ablagefläche	Ablage	Fläche	4.700000	0.674949	4.700000	0.948683	Auf Wunsch können Sie variable Regaleinsätze konstruieren und somit zusätzliche Ablagefläche schaffen.
50010	Ablagefläche	Ablage	Fläche	4.100000	1.370320	4.900000	0.316228	Viel Ablagefläche Die Träger des Racks stehen auf breiten Gummifüßen.
50011	Abschiedsspiel	Abschied	Spiel	4.300000	1.636390	4.100000	1.728840	Kahn wird Ehrenspielführer des FCB uriblank Am 2. September steigt in der Allianz Arena das Abschiedsspiel von Oliver Kahn gegen die deutsche Nationalmannschaft.
50012	Abschiedsspiel	Abschied	Spiel	4.400000	1.577620	4.200000	1.619330	Der damalige Regierungschef Georg Milbradt (CDU ) erntete beim Abschiedsspiel von Ulf Kirsten heftige Buhs - so wie Orosz-Vorgänger Ingolf Roßberg (FDP ) beim Dynamo-Aufstieg.
50013	Abschiedsspiel	Abschied	Spiel	4.700000	0.948683	4.300000	1.567020	Vor zahlreichen Zuschauern begann der Abend um 19.00 Uhr mit einem Abschiedsspiel für Vikar Christian Rolke, auf den eine neue Aufgabe in der Türkei wartet.
50014	Abschiedsspiel	Abschied	Spiel	4.500000	0.707107	4.600000	0.966092	Trotz der angespannten Hochwasserlage wird das Abschiedsspiel des ehemaligen Nationalmannschaftskapitäns Michael Ballack in Leipzig aller Voraussicht nach stattfinden können.
50015	Abschiedsspiel	Abschied	Spiel	4.300000	1.059350	4.800000	0.421637	uriblank Beiden Einrichtungen möchte ich Erlöse aus meinem Abschiedsspiel zukommen lassen und bedanke mich schon heute sehr herzlich für Ihre Unterstützung!
